Subject_ID,Session,Block_Type,Trial_Num,Stimulus,Angle,Mirror_Condition,SOA,Response_Key,ACC,RT,Flag,Early_Key,Repeated_Trial,Practice_Round,Timestamp,Condition
W,1,N,1,7,240,Backward,,f,1,1676.0,0,0,0,,2026-05-10T12:30:46.464Z,7_N
W,1,N,2,2,120,Backward,,f,1,1979.0,0,0,0,,2026-05-10T12:30:50.176Z,2_N
W,1,N,3,G,180,Normal,,j,1,1547.0,0,0,0,,2026-05-10T12:30:53.456Z,G_N
W,1,N,4,G,60,Normal,,j,1,946.0,0,0,0,,2026-05-10T12:30:56.129Z,G_N
W,1,N,5,J,240,Backward,,f,1,1125.0,0,0,0,,2026-05-10T12:30:58.992Z,J_N
W,1,N,6,R,180,Normal,,j,1,1239.0,0,0,0,,2026-05-10T12:31:01.948Z,R_N
W,1,N,7,G,180,Backward,,j,0,1742.0,0,0,0,,2026-05-10T12:31:05.408Z,G_N
W,1,N,8,7,60,Backward,,f,1,1615.0,0,0,0,,2026-05-10T12:31:08.752Z,7_N
W,1,N,9,5,120,Backward,,f,1,1655.0,0,0,0,,2026-05-10T12:31:12.144Z,5_N
W,1,N,10,2,0,Backward,,f,1,897.0,0,0,0,,2026-05-10T12:31:14.772Z,2_N
W,1,N,11,G,300,Normal,,j,1,838.0,0,0,0,,2026-05-10T12:31:17.336Z,G_N
W,1,N,12,5,300,Normal,,j,1,646.0,0,0,0,,2026-05-10T12:31:19.704Z,5_N
W,1,N,13,G,60,Backward,,f,1,944.0,0,0,0,,2026-05-10T12:31:22.379Z,G_N
W,1,N,14,R,0,Backward,,f,1,716.0,0,0,0,,2026-05-10T12:31:24.833Z,R_N
W,1,N,15,R,60,Backward,,f,1,687.0,0,0,0,,2026-05-10T12:31:27.251Z,R_N
W,1,N,16,R,240,Backward,,f,1,1442.0,0,0,0,,2026-05-10T12:31:30.412Z,R_N
W,1,N,17,G,240,Normal,,j,1,1805.0,0,0,0,,2026-05-10T12:31:33.940Z,G_N
W,1,N,18,J,120,Normal,,j,1,1694.0,0,0,0,,2026-05-10T12:31:37.355Z,J_N
W,1,N,19,R,120,Backward,,,0,,1,0,0,,2026-05-10T12:31:42.096Z,R_N
W,1,N,20,7,300,Backward,,f,1,1388.0,0,0,0,,2026-05-10T12:31:45.211Z,7_N
W,1,N,21,7,300,Normal,,j,1,673.0,0,0,0,,2026-05-10T12:31:47.615Z,7_N
W,1,N,22,2,0,Normal,,j,1,573.0,0,0,0,,2026-05-10T12:31:49.908Z,2_N
W,1,N,23,G,120,Backward,,j,0,1435.0,0,0,0,,2026-05-10T12:31:53.071Z,G_N
W,1,N,24,2,60,Normal,,j,1,1605.0,0,0,0,,2026-05-10T12:31:56.399Z,2_N
W,1,N,25,R,240,Normal,,j,1,839.0,0,0,0,,2026-05-10T12:31:58.971Z,R_N
W,1,N,26,R,180,Backward,,j,0,1214.0,0,0,0,,2026-05-10T12:32:01.922Z,R_N
W,1,N,27,7,180,Normal,,j,1,1518.0,0,0,0,,2026-05-10T12:32:05.171Z,7_N
W,1,N,28,R,60,Normal,,j,1,653.0,0,0,0,,2026-05-10T12:32:07.546Z,R_N
W,1,N,29,J,60,Normal,,j,1,556.0,0,0,0,,2026-05-10T12:32:09.831Z,J_N
W,1,N,30,7,60,Normal,,j,1,687.0,0,0,0,,2026-05-10T12:32:12.250Z,7_N
W,1,N,31,7,0,Backward,,f,1,668.0,0,0,0,,2026-05-10T12:32:14.639Z,7_N
W,1,N,32,5,0,Normal,,j,1,542.0,0,0,0,,2026-05-10T12:32:16.903Z,5_N
W,1,N,33,7,180,Backward,,f,1,929.0,0,0,0,,2026-05-10T12:32:19.557Z,7_N
W,1,N,34,2,120,Normal,,j,1,771.0,0,0,0,,2026-05-10T12:32:22.047Z,2_N
W,1,N,35,5,60,Normal,,j,1,642.0,0,0,0,,2026-05-10T12:32:24.426Z,5_N
W,1,N,36,J,120,Backward,,f,1,879.0,0,0,0,,2026-05-10T12:32:27.054Z,J_N
W,1,N,37,J,180,Normal,,j,1,2240.0,0,0,0,,2026-05-10T12:32:31.023Z,J_N
W,1,N,38,2,180,Backward,,f,1,1992.0,0,0,0,,2026-05-10T12:32:34.739Z,2_N
W,1,N,39,J,0,Normal,,j,1,724.0,0,0,0,,2026-05-10T12:32:37.203Z,J_N
W,1,N,40,2,180,Normal,,j,1,2063.0,0,0,0,,2026-05-10T12:32:41.007Z,2_N
W,1,N,41,2,300,Normal,,j,1,970.0,0,0,0,,2026-05-10T12:32:43.707Z,2_N
W,1,N,42,G,0,Backward,,f,1,1175.0,0,0,0,,2026-05-10T12:32:46.599Z,G_N
W,1,N,43,5,60,Backward,,f,1,1030.0,0,0,0,,2026-05-10T12:32:49.345Z,5_N
W,1,N,44,2,240,Backward,,f,1,1943.0,0,0,0,,2026-05-10T12:32:53.032Z,2_N
W,1,N,45,2,300,Backward,,f,1,651.0,0,0,0,,2026-05-10T12:32:55.398Z,2_N
W,1,N,46,J,0,Backward,,j,0,743.0,0,0,0,,2026-05-10T12:32:57.859Z,J_N
W,1,N,47,5,240,Backward,,f,1,1888.0,0,0,0,,2026-05-10T12:33:01.478Z,5_N
W,1,N,48,2,60,Backward,,f,1,952.0,0,0,0,,2026-05-10T12:33:04.145Z,2_N
W,1,N,49,J,300,Normal,,j,1,882.0,0,0,0,,2026-05-10T12:33:06.754Z,J_N
W,1,N,50,5,0,Backward,,f,1,660.0,0,0,0,,2026-05-10T12:33:09.131Z,5_N
W,1,N,51,5,180,Normal,,j,1,1312.0,0,0,0,,2026-05-10T12:33:12.166Z,5_N
W,1,N,52,5,240,Normal,,j,1,879.0,0,0,0,,2026-05-10T12:33:14.783Z,5_N
