Subject_ID,Session,Block_Type,Trial_Num,Stimulus,Angle,Mirror_Condition,SOA,Response_Key,ACC,RT,Flag,Early_Key,Repeated_Trial,Practice_Round,Timestamp,Condition,StimType
W,1,I,46,J,60,Normal,,j,1,669.0,0,0,0,,2026-05-10T12:38:39.532Z,J_I,Letter
W,1,I,47,R,240,Backward,,f,1,1308.0,0,0,0,,2026-05-10T12:38:44.990Z,R_I,Letter
W,1,I,48,J,180,Backward,,f,1,1295.0,0,0,0,,2026-05-10T12:38:50.434Z,J_I,Letter
W,1,I,50,R,60,Normal,,j,1,633.0,0,0,0,,2026-05-10T12:39:00.129Z,R_I,Letter
W,1,I,51,R,180,Normal,,j,1,2159.0,0,0,0,,2026-05-10T12:39:06.442Z,R_I,Letter
W,1,I,52,R,300,Backward,,f,1,931.0,0,0,0,,2026-05-10T12:39:11.544Z,R_I,Letter
W,1,I,53,G,180,Normal,,j,1,2546.0,0,0,0,,2026-05-10T12:39:18.239Z,G_I,Letter
W,1,I,54,J,240,Backward,,f,1,1665.0,0,0,0,,2026-05-10T12:39:24.054Z,J_I,Letter
W,1,I,55,J,300,Normal,,j,1,729.0,0,0,0,,2026-05-10T12:39:28.943Z,J_I,Letter
W,1,I,56,R,60,Backward,,f,1,1584.0,0,0,0,,2026-05-10T12:39:34.675Z,R_I,Letter
W,1,I,57,G,120,Normal,,j,1,1546.0,0,0,0,,2026-05-10T12:39:40.370Z,G_I,Letter
W,1,I,58,R,120,Normal,,j,1,831.0,0,0,0,,2026-05-10T12:39:45.348Z,R_I,Letter
W,1,I,59,J,300,Backward,,f,1,1037.0,0,0,0,,2026-05-10T12:39:50.523Z,J_I,Letter
W,1,I,60,R,0,Backward,,f,1,894.0,0,0,0,,2026-05-10T12:39:55.550Z,R_I,Letter
W,1,I,63,R,300,Normal,,j,1,763.0,0,0,0,,2026-05-10T12:40:10.699Z,R_I,Letter
W,1,I,70,J,60,Backward,,j,0,1217.0,0,0,0,,2026-05-10T12:40:46.572Z,J_I,Letter
W,1,I,71,J,240,Normal,,j,1,1073.0,0,0,0,,2026-05-10T12:40:51.794Z,J_I,Letter
W,1,I,72,J,120,Normal,,j,1,1005.0,0,0,0,,2026-05-10T12:40:56.961Z,J_I,Letter
W,1,O,3,R,0,Normal,,j,1,629.0,0,0,0,,2026-05-10T12:58:36.693Z,R_O,Letter
