name,input,output,delay
shabi,6,0,65537
shabi,9,0,65537
shabi,9,0,0.5
shabi,6,6,-0.1
shabi,8,8,-0.1
shabi,9,0,0.15
shabi,9,9,-0.1
shabi,8,0,-0.1
shabi,8,0,65537
